segment,lat1,long1,lat2,long2
punaruu_1,-17.630847,-149.606275,-17.627519,-149.608545
punaruu_2,-17.636218,-149.609338,-17.632921,-149.606492
tahiti_1,-17.539618,-149.56725,-17.533968,-149.550300
tahiti_2,-17.533968,-149.5503,-17.52566,-149.536009
tahiti_3,-17.52566,-149.536009,-17.523001,-149.513243
tahiti_4,-17.523001,-149.513243,-17.505719,-149.47519
tahiti_5,-17.505719,-149.47519,-17.516852,-149.403735
tahiti_6,-17.516852,-149.403735,-17.583987,-149.309847
tahiti_7,-17.583987,-149.309847,-17.721233,-149.30652
tahiti_8,-17.721233,-149.30652,-17.727467,-149.323594
tahiti_9,-17.727467,-149.323594,-17.775436,-149.468044
tahiti_10,-17.775436,-149.468044,-17.739933,-149.575636
tahiti_11,-17.739933,-149.575636,-17.654293,-149.598401
tahiti_12,-17.654293,-149.598401,-17.59982,-149.612764
tahiti_13,-17.59982,-149.612764,-17.576186,-149.613222
tahiti_14,-17.576186,-149.613222,-17.562584,-149.599083
tahiti_15,-17.562584,-149.599083,-17.5461,-149.582935
tahiti_16,-17.5461,-149.582935,-17.539618,-149.56725
aeroport_1,-17.576186,-149.613222,-17.558562,-149.60637
aeroport_2,-17.558562,-149.60637,-17.5461,-149.582935
